Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Personal Fouls,Points,Rank,Year
Álex Abrines,SG,24,OKC,75,15.1,1.5,3.9,1.1,,0.4,0.9,0.5,0.6,1.7,4.7,1,2018
Quincy Acy,PF,27,BRK,70,19.4,1.9,,1.5,4.2,0.4,1.0,0.7,0.9,2.1,5.9,2,2018
Steven Adams,C,24,OKC,76,32.7,5.9,9.4,0.0,0.0,5.9,9.3,2.1,3.8,2.8,13.9,3,2018
Bam Adebayo,C,20,MIA,69,19.8,2.5,4.9,0.0,0.1,2.5,4.8,1.9,2.6,2.0,6.9,4,2018
Arron Afflalo,SG,32,ORL,53,12.9,1.2,,0.5,,0.7,1.7,0.4,0.5,1.1,3.4,5,2018
Cole Aldrich,C,29,MIN,21,2.3,0.2,,0.0,0.0,,0.7,0.1,0.3,0.5,0.6,6,2018
LaMarcus Aldridge,C,32,SAS,75,33.5,9.2,,0.4,1.2,8.8,16.7,4.5,5.3,2.1,23.1,7,2018
Jarrett Allen,C,19,BRK,72,20.0,3.3,5.5,0.1,0.2,3.2,5.3,1.6,2.0,2.0,8.2,8,2018
Kadeem Allen,PG,25,BOS,18,5.9,0.3,,0.0,0.6,,0.6,0.4,0.5,0.8,1.1,9,2018
Tony Allen,SF,36,NOP,22,12.4,2.0,,0.2,0.5,,3.6,0.5,1.0,2.2,4.7,10,2018
Al-Farouq Aminu,PF,27,POR,69,30.0,3.3,,1.8,4.9,1.5,3.5,0.9,1.2,2.0,9.3,11,2018
Justin Anderson,SF,24,PHI,38,13.7,2.3,5.3,0.9,2.7,1.4,2.6,0.7,1.0,1.4,6.2,12,2018
Kyle Anderson,SF,24,SAS,74,26.7,3.1,5.9,0.3,0.8,2.9,5.1,1.4,2.0,1.5,7.9,13,2018
Ryan Anderson,PF,29,HOU,66,26.1,3.1,,2.0,5.1,1.2,2.1,1.1,1.4,1.9,9.3,14,2018
Ike Anigbogu,C,19,IND,11,2.7,0.4,0.8,0.0,0.0,,0.8,0.5,0.5,0.1,1.2,15,2018
Giannis Antetokounmpo,PF,23,MIL,75,36.7,9.9,18.7,0.6,1.9,9.3,16.8,6.5,8.5,3.1,26.9,16,2018
Carmelo Anthony,PF,33,OKC,78,32.1,6.1,,2.2,6.1,3.9,8.9,1.9,2.5,2.5,16.2,17,2018
OG Anunoby,SF,20,TOR,74,20.0,2.2,4.7,1.0,2.7,1.2,2.0,0.5,0.8,1.8,5.9,18,2018
Ryan Arcidiacono,PG,23,CHI,24,12.7,0.7,1.7,0.4,1.3,,0.4,0.2,0.3,0.8,2.0,19,2018
Trevor Ariza,SF,32,HOU,67,33.9,4.0,,2.5,6.9,1.5,2.8,1.1,1.3,2.0,11.7,20,2018
Darrell Arthur,PF,29,DEN,19,7.4,1.2,,0.4,1.2,,1.3,0.1,0.2,1.2,2.8,21,2018
Jamel Artis,SG,25,ORL,15,18.6,2.1,,0.5,,,3.3,0.5,0.8,0.7,5.1,22,2018
Ömer Aşık,C,31,TOT,18,10.1,0.5,,0.0,0.0,,1.2,0.2,0.7,1.1,1.2,23,2018
Ömer Aşık,C,31,NOP,14,8.6,0.5,,0.0,0.0,,1.1,0.3,0.9,1.0,1.3,23,2018
Ömer Aşık,C,31,CHI,4,15.3,0.5,,0.0,0.0,,1.5,0.0,0.3,1.5,1.0,23,2018
D.J. Augustin,PG,30,ORL,75,23.5,3.3,,1.5,3.6,1.7,3.6,2.2,2.5,1.3,10.2,24,2018
Luke Babbitt,SF,28,TOT,50,14.3,1.8,,1.2,3.1,0.6,1.2,0.3,0.4,1.1,5.2,25,2018
Luke Babbitt,SF,28,ATL,37,15.4,2.2,,1.3,3.0,0.8,1.5,0.5,0.6,1.3,6.1,25,2018
Luke Babbitt,SF,28,MIA,13,11.2,0.8,,0.8,3.5,,0.2,0.0,0.0,0.5,2.5,25,2018
Dwayne Bacon,SG,22,CHO,53,13.5,1.4,3.6,0.2,,1.2,2.8,0.4,0.5,0.9,3.3,26,2018
Ron Baker,SG,24,NYK,29,13.3,0.7,2.0,0.4,,,0.9,0.7,0.9,1.1,2.4,27,2018
Wade Baldwin,PG,21,POR,7,11.4,2.0,3.0,0.6,0.7,,2.3,0.9,1.4,1.7,5.4,28,2018
Lonzo Ball,PG,20,LAL,52,34.2,3.9,10.8,1.7,5.7,2.2,5.2,0.6,1.4,2.3,10.2,29,2018
J.J. Barea,PG,33,DAL,69,23.2,4.4,,1.7,4.5,2.7,5.5,1.2,1.5,1.2,11.6,30,2018
Harrison Barnes,PF,25,DAL,77,34.2,7.0,,1.5,4.3,5.4,11.4,3.4,4.1,1.2,18.9,31,2018
Will Barton,SG,27,DEN,81,33.1,5.7,,1.9,,3.8,7.5,2.2,2.8,2.1,15.7,32,2018
Nicolas Batum,SG,29,CHO,64,31.0,4.2,,1.4,,2.8,5.9,1.7,2.0,1.1,11.6,33,2018
Jerryd Bayless,SG,29,PHI,39,23.7,2.8,,1.4,,1.4,3.0,0.9,1.1,2.3,7.9,34,2018
Aron Baynes,C,31,BOS,81,18.3,2.6,,0.0,0.3,2.6,5.2,0.7,1.0,2.5,6.0,35,2018
Kent Bazemore,SG,28,ATL,65,27.5,4.4,,1.7,,2.7,6.2,2.5,3.1,2.3,12.9,36,2018
Bradley Beal,SG,24,WAS,82,36.3,8.3,18.1,2.4,,5.9,11.6,3.6,4.5,2.0,22.6,37,2018
Malik Beasley,SG,21,DEN,62,9.4,1.2,2.9,0.5,,0.7,1.5,0.4,0.5,0.6,3.2,38,2018
Michael Beasley,PF,29,NYK,74,22.3,5.5,,0.5,1.2,5.1,9.7,1.7,2.1,2.0,13.2,39,2018
Marco Belinelli,SG,31,TOT,80,24.3,4.2,,1.9,,2.4,4.6,1.9,2.0,1.1,12.1,40,2018
Marco Belinelli,SG,31,ATL,52,23.3,3.8,,1.8,,2.1,4.6,1.9,2.1,0.8,11.4,40,2018
Marco Belinelli,SG,31,PHI,28,26.3,4.9,,2.0,,,4.7,1.7,1.9,1.8,13.6,40,2018
Jordan Bell,C,23,GSW,57,14.2,2.0,3.2,0.0,0.1,2.0,3.2,0.5,0.8,1.6,4.6,41,2018
DeAndre' Bembry,SF,23,ATL,26,17.5,2.0,4.9,0.4,1.2,,3.8,0.7,1.3,1.5,5.2,42,2018
Dragan Bender,PF,20,PHO,82,25.2,2.3,5.9,1.4,3.9,0.8,2.0,0.5,0.6,2.0,6.5,43,2018
Dāvis Bertāns,PF,25,SAS,77,14.1,2.1,,1.2,3.3,0.9,1.5,0.5,0.6,1.2,5.9,44,2018
Patrick Beverley,SG,29,LAC,11,30.4,4.4,,2.2,,,5.4,1.3,1.5,3.1,12.2,45,2018
Khem Birch,C,25,ORL,42,13.8,1.6,,0.0,0.0,1.6,3.0,1.0,1.5,1.3,4.2,46,2018
Jabari Bird,SG,23,BOS,13,8.8,1.2,2.0,0.2,,,1.5,0.5,1.0,0.5,3.0,47,2018
Bismack Biyombo,C,25,ORL,82,18.2,2.2,,0.0,0.0,2.2,4.3,1.2,1.9,1.9,5.7,48,2018
Nemanja Bjelica,PF,29,MIN,67,20.5,2.6,,1.1,2.7,1.4,2.8,0.5,0.7,2.1,6.8,49,2018
Tarik Black,C,26,HOU,51,10.5,1.5,,0.0,0.2,1.5,2.3,0.6,1.2,2.1,3.5,50,2018
Antonio Blakeney,SG,21,CHI,19,16.5,2.8,7.5,0.8,,,4.8,1.6,2.1,1.0,7.9,51,2018
Eric Bledsoe,PG,28,TOT,74,31.4,6.3,,1.7,4.9,4.6,8.5,3.4,4.3,2.5,17.7,52,2018
Eric Bledsoe,PG,28,PHO,3,27.7,5.3,,1.3,4.3,,9.0,3.7,4.7,2.0,15.7,52,2018
Eric Bledsoe,PG,28,MIL,71,31.5,6.4,,1.7,4.9,4.7,8.5,3.4,4.3,2.5,17.8,52,2018
Vander Blue,SG,25,LAL,5,9.0,0.2,,0.0,,,0.6,0.2,0.4,0.4,0.6,53,2018
Bogdan Bogdanović,SG,25,SAC,78,27.9,4.4,,1.7,,2.8,5.7,1.3,1.5,2.2,11.8,54,2018
Bojan Bogdanović,SF,28,IND,80,30.8,5.1,,1.9,4.8,3.1,5.8,2.2,2.6,1.6,14.3,55,2018
Andrew Bogut,C,33,LAL,24,9.0,0.7,,0.0,0.0,,1.0,0.1,0.1,1.7,1.5,56,2018
Joel Bolomboy,PF,24,MIL,6,6.3,0.5,1.0,0.0,0.2,,0.8,0.5,1.0,0.5,1.5,57,2018
Devin Booker,SG,21,PHO,54,34.5,8.4,19.5,2.7,,5.7,12.4,5.4,6.1,3.1,24.9,58,2018
Trevor Booker,PF,30,TOT,68,17.0,2.6,,0.1,0.5,2.5,4.6,1.0,1.4,1.8,6.3,59,2018
Trevor Booker,PF,30,BRK,18,21.9,4.3,,0.2,0.7,,7.7,1.3,2.4,2.4,10.1,59,2018
Trevor Booker,PF,30,PHI,33,15.0,1.8,,0.1,0.2,,3.1,1.0,1.2,1.5,4.7,59,2018
Trevor Booker,PF,30,IND,17,15.8,2.3,,0.2,0.8,,4.1,0.6,0.6,1.5,5.4,59,2018
Chris Boucher,PF,25,GSW,1,1.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,60,2018
Avery Bradley,SG,27,TOT,46,31.2,5.6,,1.6,,4.0,9.2,1.4,1.8,2.0,14.3,61,2018
Avery Bradley,SG,27,DET,40,31.7,5.8,,1.9,,4.0,9.4,1.5,2.0,2.0,15.0,61,2018
Avery Bradley,SG,27,LAC,6,27.5,4.3,,0.2,,,7.7,0.3,0.3,2.0,9.2,61,2018
Tony Bradley,C,20,UTA,9,3.2,0.3,1.2,0.0,0.1,,1.1,0.2,0.2,0.1,0.9,62,2018
Corey Brewer,SF-SG,31,TOT,72,16.8,2.0,,0.4,1.5,1.5,2.9,0.9,1.3,,5.3,63,2018
Corey Brewer,SF,31,LAL,54,12.9,1.4,,0.1,0.8,1.3,2.4,0.6,0.9,1.5,3.7,63,2018
Corey Brewer,SG,31,OKC,18,28.6,3.6,,1.3,,,4.3,1.7,2.2,3.1,10.1,63,2018
Malcolm Brogdon,PG,25,MIL,48,29.9,5.1,,1.3,3.4,3.8,7.1,1.6,1.8,2.7,13.0,64,2018
Aaron Brooks,PG,33,MIN,32,5.9,0.9,,0.3,1.0,,1.2,0.3,0.3,0.9,2.3,65,2018
Dillon Brooks,SF,22,MEM,82,28.7,4.1,9.4,1.1,3.2,3.0,6.2,1.5,2.0,2.8,11.0,66,2018
MarShon Brooks,SG,29,MEM,7,27.6,7.3,,2.7,,,10.0,2.9,3.3,0.9,20.1,67,2018
Anthony Brown,SF,25,MIN,1,4.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0,3.0,68,2018
Bobby Brown,PG,33,HOU,20,5.8,1.0,,0.6,2.0,,0.9,0.1,0.1,0.3,2.5,69,2018
Jaylen Brown,SG,21,BOS,70,30.7,5.3,11.5,1.7,,3.6,7.1,2.1,3.3,2.6,14.5,70,2018
Lorenzo Brown,PG,27,TOR,14,9.9,1.0,,0.1,0.9,,1.6,0.1,0.1,0.5,2.3,71,2018
Markel Brown,SG,26,HOU,4,7.8,0.5,,0.3,,,0.5,0.0,0.0,1.5,1.3,72,2018
Sterling Brown,SG,22,MIL,54,14.4,1.5,3.8,0.6,,0.9,2.1,0.4,0.4,1.5,4.0,73,2018
Nicolás Brussino,SF,24,ATL,4,2.5,0.0,0.5,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,74,2018
Thomas Bryant,C,20,LAL,15,4.8,0.5,1.4,0.1,0.7,,0.7,0.3,0.6,0.4,1.5,75,2018
Reggie Bullock,SF,26,DET,62,27.9,4.3,,2.0,4.5,2.3,4.3,0.6,0.8,1.1,11.3,76,2018
Trey Burke,PG,25,NYK,36,21.8,5.4,,1.1,2.9,4.3,7.8,1.0,1.6,1.2,12.8,77,2018
Alec Burks,SG,26,UTA,64,16.5,2.7,,0.7,,1.9,4.3,1.7,1.9,1.2,7.7,78,2018
Jimmy Butler,SG,28,MIN,59,36.7,7.4,,1.2,,6.2,12.2,6.2,7.2,1.3,22.2,79,2018
Dwight Buycks,PG,28,DET,29,14.7,2.8,,0.5,1.6,,5.3,1.2,1.4,1.3,7.4,80,2018
Bruno Caboclo,SF,22,TOT,12,8.9,0.8,2.6,0.3,1.4,,1.2,0.4,0.5,0.7,2.2,81,2018
Bruno Caboclo,SF,22,TOR,2,3.5,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.0,81,2018
Bruno Caboclo,SF,22,SAC,10,10.0,0.9,2.9,0.3,1.5,,1.4,0.5,0.6,0.7,2.6,81,2018
José Calderón,PG,36,CLE,57,16.0,1.6,,0.8,1.7,0.8,1.5,0.4,0.5,1.4,4.5,82,2018
Kentavious Caldwell-Pope,SG,24,LAL,74,33.2,4.6,10.8,2.1,,2.4,5.2,2.1,2.6,2.0,13.4,83,2018
Isaiah Canaan,PG-SG,26,TOT,20,21.1,2.6,,1.1,3.3,,3.6,2.3,2.6,,8.6,84,2018
Isaiah Canaan,SG,26,HOU,1,4.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,0.0,84,2018
Isaiah Canaan,PG,26,PHO,19,22.0,2.7,,1.2,3.5,,3.7,2.4,2.7,1.9,9.1,84,2018
Clint Capela,C,23,HOU,74,27.5,6.0,9.1,0.0,0.0,6.0,9.1,1.9,3.5,2.5,13.9,85,2018
DeMarre Carroll,PF,31,BRK,73,29.9,4.5,,2.0,5.4,2.5,5.4,2.6,3.4,2.3,13.5,86,2018
Vince Carter,SF,41,SAC,58,17.7,2.0,,1.0,2.8,1.0,2.0,0.5,0.6,1.7,5.4,87,2018
Michael Carter-Williams,PG,26,CHO,52,16.1,1.5,,0.3,1.1,1.2,3.3,1.4,1.7,1.9,4.6,88,2018
Alex Caruso,PG,23,LAL,37,15.2,1.4,3.1,0.4,1.2,1.0,2.0,0.6,0.8,1.4,3.6,89,2018
Omri Casspi,SF,29,GSW,53,14.0,2.3,,0.2,0.4,2.1,3.5,0.9,1.3,1.3,5.7,90,2018
Willie Cauley-Stein,C,24,SAC,73,28.0,5.3,10.6,0.0,0.2,5.3,10.4,2.1,3.4,2.5,12.8,91,2018
Tyler Cavanaugh,PF,23,ATL,39,13.3,1.7,3.9,0.8,2.3,0.9,1.6,0.4,0.5,1.6,4.7,92,2018
Mario Chalmers,PG,31,MEM,66,21.5,2.5,,0.8,2.9,1.7,3.8,1.8,2.1,2.7,7.7,93,2018
Tyson Chandler,C,35,PHO,46,25.0,2.6,,0.0,0.0,2.6,4.1,1.3,2.0,2.3,6.5,94,2018
Wilson Chandler,SF,30,DEN,74,31.7,3.8,,1.2,3.3,2.6,5.2,1.2,1.5,2.1,10.0,95,2018
Marquese Chriss,PF,20,PHO,72,21.2,2.8,6.6,0.8,2.6,2.0,4.0,1.3,2.2,2.8,7.7,96,2018
Ian Clark,SG,26,NOP,74,19.7,3.0,,0.8,,2.2,4.1,0.6,0.8,1.6,7.4,97,2018
Jordan Clarkson,SG,25,TOT,81,23.3,5.3,,1.4,,3.9,7.9,1.9,2.3,1.3,13.9,98,2018
Jordan Clarkson,SG,25,LAL,53,23.7,5.6,,1.3,,4.4,8.6,2.0,2.5,1.2,14.5,98,2018
Jordan Clarkson,SG,25,CLE,28,22.6,4.7,,1.6,,,6.4,1.7,2.1,1.6,12.6,98,2018
Gian Clavell,SG,24,DAL,7,9.1,0.9,2.6,0.9,,,0.4,0.3,0.3,1.1,2.9,99,2018
Antonius Cleveland,SG,23,TOT,17,7.2,0.5,1.2,0.2,,,1.0,0.2,0.4,1.4,1.4,100,2018
Antonius Cleveland,SG,23,DAL,13,6.2,0.3,1.1,0.0,,,1.0,0.2,0.3,0.8,0.8,100,2018
Antonius Cleveland,SG,23,ATL,4,10.5,1.0,1.8,0.8,,,1.0,0.5,0.5,3.0,3.3,100,2018
John Collins,PF,20,ATL,74,24.1,4.2,7.4,0.2,0.6,4.0,6.7,1.8,2.5,2.9,10.5,101,2018
Zach Collins,C,20,POR,66,15.8,1.7,4.4,0.5,1.7,1.2,2.7,0.4,0.6,2.0,4.4,102,2018
Kyle Collinsworth,SF,26,DAL,32,15.0,1.2,,0.1,0.5,,2.6,0.7,1.3,1.4,3.2,103,2018
Darren Collison,PG,30,IND,69,29.2,4.6,,1.4,3.0,3.2,6.3,1.8,2.1,1.8,12.4,104,2018
Nick Collison,PF,37,OKC,15,5.0,0.9,,0.0,0.0,,1.3,0.3,0.9,0.5,2.1,105,2018
Mike Conley,PG,30,MEM,12,31.1,5.3,,2.0,6.4,,7.6,4.4,5.5,2.0,17.1,106,2018
Pat Connaughton,SG,25,POR,82,18.1,2.0,,0.9,,1.1,2.2,0.5,0.5,1.5,5.4,107,2018
Quinn Cook,PG,24,GSW,33,22.4,3.7,7.6,1.4,3.2,,4.5,0.7,0.8,1.8,9.5,108,2018
Charles Cooke,SG,23,NOP,13,2.9,0.2,1.1,0.1,,,0.5,0.1,0.2,0.0,0.5,109,2018
Jack Cooley,PF,26,SAC,7,12.4,1.9,,0.0,0.0,,3.9,2.0,2.7,1.9,5.7,110,2018
Matt Costello,C,24,SAS,4,8.0,0.5,1.0,0.0,0.0,,1.0,0.0,0.0,1.8,1.0,111,2018
DeMarcus Cousins,C,27,NOP,48,36.2,8.5,,2.2,6.1,6.3,11.9,6.1,8.2,3.8,25.2,112,2018
Robert Covington,SF,27,PHI,80,31.7,4.3,,2.5,6.9,1.8,3.6,1.5,1.7,3.0,12.6,113,2018
Allen Crabbe,SG,25,BRK,75,29.3,4.5,,2.7,,1.8,3.9,1.5,1.8,2.2,13.2,114,2018
Torrey Craig,SF,27,DEN,39,16.1,1.6,,0.4,1.5,1.2,2.0,0.6,0.9,1.6,4.2,115,2018
Jamal Crawford,SG,37,MIN,80,20.7,3.9,,1.3,,2.6,5.4,1.3,1.4,1.1,10.3,116,2018
Jordan Crawford,SG,29,NOP,5,10.6,2.4,,1.6,,,2.6,0.2,0.2,1.4,6.6,117,2018
Jae Crowder,SF,27,TOT,80,26.1,3.4,,1.4,4.3,2.0,4.1,1.5,1.9,2.3,9.7,118,2018
Jae Crowder,SF,27,CLE,53,25.4,3.0,,1.2,3.6,1.8,3.5,1.5,1.7,2.3,8.6,118,2018
Jae Crowder,SF,27,UTA,27,27.6,4.2,,1.8,5.6,,5.3,1.6,2.1,2.3,11.8,118,2018
Dante Cunningham,SF,30,TOT,73,21.4,2.2,,0.8,2.3,1.5,2.7,0.4,0.7,1.5,5.7,119,2018
Dante Cunningham,SF,30,NOP,51,21.9,1.9,,0.7,2.1,1.3,2.3,0.4,0.7,1.5,5.0,119,2018
Dante Cunningham,SF,30,BRK,22,20.3,3.0,,1.0,2.7,,3.6,0.5,0.7,1.6,7.5,119,2018
Stephen Curry,PG,29,GSW,51,32.0,8.4,,4.2,9.8,4.2,7.1,5.5,5.9,2.2,26.4,120,2018
Troy Daniels,SG,26,PHO,79,20.5,2.9,,2.3,,0.6,1.5,0.7,0.8,1.7,8.9,121,2018
Anthony Davis,PF,24,NOP,75,36.4,10.4,19.5,0.7,2.2,9.7,17.3,6.6,8.0,2.1,28.1,122,2018
Deyonta Davis,C,21,MEM,62,15.2,2.6,4.3,0.0,0.0,2.6,4.3,0.6,0.9,2.0,5.8,123,2018
Ed Davis,C,28,POR,78,18.9,2.2,,0.0,0.0,2.2,3.7,0.9,1.4,2.4,5.3,124,2018
Dewayne Dedmon,C,28,ATL,62,24.9,4.0,,0.8,2.3,3.2,5.4,1.1,1.4,2.6,10.0,125,2018
Sam Dekker,PF,23,LAC,73,12.1,1.8,3.5,0.1,0.8,1.6,2.7,0.5,0.8,1.0,4.2,126,2018
Malcolm Delaney,PG,28,ATL,54,18.8,2.0,,0.9,2.3,1.2,3.0,1.4,1.7,1.5,6.3,127,2018
Matthew Dellavedova,PG,27,MIL,38,18.7,1.4,,0.8,2.1,0.7,1.9,0.7,0.7,1.8,4.3,128,2018
Luol Deng,SF,32,LAL,1,13.0,1.0,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,129,2018
DeMar DeRozan,SG,28,TOR,80,33.9,8.1,,1.1,,7.0,14.1,5.8,7.0,1.9,23.0,130,2018
Cheick Diallo,PF,21,NOP,52,11.2,2.0,3.4,0.0,0.0,2.0,3.4,1.0,1.3,1.6,4.9,131,2018
Gorgui Dieng,C,28,MIN,79,16.9,2.4,,0.2,0.8,2.1,4.1,1.0,1.3,1.9,5.9,132,2018
Spencer Dinwiddie,PG,24,BRK,80,28.8,4.1,10.5,1.8,5.4,2.3,5.1,2.7,3.4,2.3,12.6,133,2018
Tyler Dorsey,SG,21,ATL,56,17.4,2.6,6.8,1.3,,1.3,3.3,0.8,1.1,1.1,7.2,134,2018
Damyean Dotson,SG,23,NYK,44,10.8,1.6,3.7,0.5,,1.1,2.1,0.4,0.5,0.8,4.1,135,2018
Milton Doyle,SG,24,BRK,10,12.5,1.3,4.7,0.4,,,2.4,0.4,0.8,1.3,3.4,136,2018
PJ Dozier,PG,21,OKC,2,1.5,0.5,1.0,0.0,0.0,,1.0,0.0,0.0,0.5,1.0,137,2018
Goran Dragić,PG,31,MIA,75,31.7,6.5,,1.5,4.0,5.0,10.3,2.9,3.6,2.4,17.3,138,2018
Larry Drew II,PG,27,TOT,10,7.0,0.7,,0.3,0.9,,1.5,0.0,0.0,0.6,1.7,139,2018
Larry Drew II,PG,27,PHI,3,5.0,0.3,,0.0,1.0,,1.3,0.0,0.0,0.7,0.7,139,2018
Larry Drew II,PG,27,NOP,7,7.9,0.9,,0.4,0.9,,1.6,0.0,0.0,0.6,2.1,139,2018
Andre Drummond,C,24,DET,78,33.7,6.0,11.3,0.0,0.1,6.0,11.2,3.1,5.1,3.2,15.0,140,2018
Jared Dudley,PF,32,PHO,48,14.3,1.0,,0.6,1.7,0.4,0.9,0.6,0.7,1.8,3.2,141,2018
Kris Dunn,PG,23,CHI,52,29.3,5.5,12.8,0.8,2.6,4.7,10.2,1.6,2.2,3.3,13.4,142,2018
Kevin Durant,SF,29,GSW,68,34.2,9.3,,2.5,6.1,6.7,11.9,5.3,5.9,2.0,26.4,143,2018
Jarell Eddie,SF,26,TOT,3,3.0,0.0,,0.0,0.7,,0.0,0.0,0.0,0.0,0.0,144,2018
Jarell Eddie,SF,26,BOS,2,3.0,0.0,,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,144,2018
Jarell Eddie,SF,26,CHI,1,3.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,144,2018
Henry Ellenson,PF,21,DET,38,8.7,1.4,3.8,0.5,1.6,0.9,2.3,0.7,0.8,0.6,4.0,145,2018
Wayne Ellington,SG,30,MIA,77,26.5,3.7,,2.9,,0.8,1.6,0.9,1.0,1.2,11.2,146,2018
Joel Embiid,C,23,PHI,63,30.3,8.1,16.8,1.0,3.4,7.0,13.4,5.7,7.4,3.3,22.9,147,2018
James Ennis,SF,27,TOT,72,22.3,2.5,,0.7,2.1,1.8,3.2,1.3,1.6,1.9,7.1,148,2018
James Ennis,SF,27,MEM,45,23.4,2.4,,0.7,1.9,1.7,3.1,1.4,1.6,1.8,6.9,148,2018
James Ennis,SF,27,DET,27,20.4,2.7,,0.8,2.6,,3.4,1.2,1.6,2.0,7.5,148,2018
Tyler Ennis,PG,23,LAL,54,12.6,1.7,4.1,0.3,1.0,1.5,3.1,0.4,0.5,1.4,4.1,149,2018
Jawun Evans,PG,21,LAC,48,16.2,1.9,5.3,0.3,1.1,1.5,4.1,0.8,1.0,2.0,4.8,150,2018
Jeremy Evans,SF,30,ATL,1,5.0,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,2.0,151,2018
Tyreke Evans,PG,28,MEM,52,30.9,7.0,,2.2,5.5,4.8,10.1,3.2,4.0,1.8,19.4,152,2018
Dante Exum,PG,22,UTA,14,16.8,3.0,6.2,0.4,1.3,,4.9,1.8,2.2,1.4,8.1,153,2018
Kenneth Faried,PF,28,DEN,32,14.4,2.4,,0.0,0.0,,4.6,1.1,1.6,1.6,5.9,154,2018
Derrick Favors,C,26,UTA,77,28.0,5.1,,0.2,0.8,4.9,8.3,1.8,2.8,2.1,12.3,155,2018
Kay Felder,PG,22,TOT,16,8.8,1.3,4.4,0.3,1.2,,3.2,0.7,0.8,0.7,3.6,156,2018
Kay Felder,PG,22,CHI,14,9.6,1.4,4.7,0.3,1.3,,3.4,0.8,0.9,0.8,3.9,156,2018
Kay Felder,PG,22,DET,2,3.0,0.5,2.0,0.0,0.5,,1.5,0.0,0.0,0.0,1.0,156,2018
Cristiano Felício,C,25,CHI,55,17.8,2.3,,0.0,0.0,2.3,3.9,1.0,1.5,1.9,5.6,157,2018
Raymond Felton,PG,33,OKC,82,16.6,2.7,,1.0,2.8,1.7,3.9,0.4,0.5,1.1,6.9,158,2018
Terrance Ferguson,SG,19,OKC,61,12.5,1.1,2.8,0.7,,0.5,0.8,0.1,0.2,1.4,3.1,159,2018
Yogi Ferrell,SG,24,DAL,82,27.8,3.8,8.9,1.6,,2.2,4.5,1.0,1.3,1.9,10.2,160,2018
Dorian Finney-Smith,PF,24,DAL,21,21.3,2.2,5.8,1.0,3.2,,2.6,0.5,0.7,2.0,5.9,161,2018
Bryn Forbes,SG,24,SAS,80,19.0,2.6,6.2,1.1,,1.5,3.4,0.6,0.9,1.4,6.9,162,2018
Evan Fournier,SF,25,ORL,57,32.2,6.5,,2.2,5.9,4.2,8.2,2.6,3.0,2.4,17.8,163,2018
De'Aaron Fox,PG,20,SAC,73,27.8,4.5,10.9,0.6,2.1,3.8,8.8,1.9,2.7,2.2,11.6,164,2018
Tim Frazier,PG,27,WAS,59,14.2,1.2,,0.3,0.9,0.9,2.0,0.4,0.5,1.6,3.0,165,2018
Channing Frye,C,34,TOT,53,13.1,2.0,,0.7,2.2,1.2,1.8,0.3,0.4,1.3,5.0,166,2018
Channing Frye,C,34,CLE,44,12.4,1.9,,0.7,2.0,1.2,1.8,0.3,0.3,1.2,4.8,166,2018
Channing Frye,C,34,LAL,9,16.7,2.2,,1.0,2.8,,2.0,0.3,0.4,1.7,5.8,166,2018
Markelle Fultz,SG,19,PHI,14,18.1,3.2,7.9,0.0,,,7.9,0.7,1.5,1.6,7.1,167,2018
Danilo Gallinari,SF,29,LAC,21,32.0,4.9,,1.7,5.3,,6.9,3.9,4.1,1.4,15.3,168,2018
Langston Galloway,SG,26,DET,58,14.9,2.2,,1.3,,0.9,2.1,0.6,0.7,0.7,6.2,169,2018
Marc Gasol,C,33,MEM,73,33.0,5.9,,1.5,4.4,4.5,9.8,3.8,4.6,2.5,17.2,170,2018
Pau Gasol,C,37,SAS,77,23.5,3.7,,0.6,1.6,3.2,6.6,2.1,2.7,1.6,10.1,171,2018
Rudy Gay,PF,31,SAS,57,21.6,4.4,,0.6,2.1,3.8,7.4,2.0,2.5,1.7,11.5,172,2018
Paul George,SF,27,OKC,79,36.6,7.3,,3.1,7.7,4.2,9.3,4.3,5.2,2.9,21.9,173,2018
Marcus Georges-Hunt,SG,23,MIN,42,5.3,0.5,1.1,0.1,,0.4,0.8,0.3,0.5,0.8,1.4,174,2018
Jonathan Gibson,PG,30,BOS,4,10.0,3.5,,1.5,3.0,,2.8,0.0,0.0,1.3,8.5,175,2018
Taj Gibson,PF,32,MIN,82,33.2,5.2,,0.1,0.4,5.1,8.6,1.7,2.3,2.7,12.2,176,2018
Manu Ginóbili,SG,40,SAS,65,20.0,3.1,,1.0,,2.1,4.2,1.7,2.0,1.9,8.9,177,2018
