Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Personal Fouls,Points,Rank,Year
Alex Caruso,PG,24,LAL,25,21.2,3.1,6.9,1.0,2.0,,4.9,2.0,2.6,2.2,9.2,95,2019
Omri Casspi,SF,30,MEM,36,14.4,2.4,,0.4,1.2,2.0,3.3,1.1,1.6,1.0,6.3,96,2019
Willie Cauley-Stein,C,25,SAC,81,27.3,5.1,,0.0,0.0,5.1,9.1,1.7,3.1,2.8,11.9,97,2019
Troy Caupain,PG,23,ORL,4,4.0,1.0,2.0,0.5,0.8,,1.3,0.0,0.0,0.0,2.5,98,2019
Tyler Cavanaugh,PF,24,UTA,11,3.5,0.3,0.9,0.1,0.5,,0.5,0.2,0.2,0.3,0.8,99,2019
Tyson Chandler,C,36,TOT,55,15.9,1.1,,0.0,0.0,1.1,1.8,0.9,1.6,2.0,3.1,100,2019
Tyson Chandler,C,36,PHO,7,12.7,1.1,,0.0,0.0,,1.7,1.4,2.6,3.0,3.7,100,2019
Tyson Chandler,C,36,LAL,48,16.4,1.1,,0.0,0.0,1.1,1.8,0.9,1.4,1.9,3.1,100,2019
Wilson Chandler,PF-SF,31,TOT,51,23.1,2.2,,1.2,3.1,1.1,2.3,0.4,0.5,,6.0,101,2019
Wilson Chandler,PF,31,PHI,36,26.4,2.5,,1.3,3.3,1.3,2.5,0.4,0.5,2.6,6.7,101,2019
Wilson Chandler,SF,31,LAC,15,15.1,1.5,,0.9,2.7,,1.7,0.3,0.5,1.9,4.3,101,2019
Joe Chealey,PG,23,CHO,1,8.0,1.0,3.0,0.0,0.0,,3.0,0.0,0.0,1.0,2.0,102,2019
Chris Chiozza,PG,23,HOU,7,4.7,0.3,1.1,0.3,0.7,,0.4,0.0,0.0,0.3,0.9,103,2019
Marquese Chriss,PF,21,TOT,43,11.6,1.6,4.2,0.4,1.7,1.2,2.5,0.7,1.0,1.9,4.2,104,2019
Marquese Chriss,PF,21,HOU,16,6.5,0.7,2.1,0.1,0.9,,1.2,0.4,0.4,1.1,1.8,104,2019
Marquese Chriss,PF,21,CLE,27,14.6,2.1,5.4,0.6,2.1,,3.3,1.0,1.4,2.4,5.7,104,2019
Gary Clark,PF,24,HOU,51,12.6,1.0,3.0,0.8,2.7,0.2,0.3,0.1,0.1,0.9,2.9,105,2019
Ian Clark,SG,27,NOP,60,16.2,2.5,,1.1,,1.4,3.0,0.6,0.6,1.6,6.7,106,2019
Jordan Clarkson,SG,26,CLE,81,27.3,6.5,,1.8,,4.8,9.1,2.0,2.4,1.4,16.8,107,2019
John Collins,PF,21,ATL,61,30.0,7.6,13.6,0.9,2.6,6.7,11.0,3.3,4.4,3.3,19.5,108,2019
Zach Collins,C,21,POR,77,17.6,2.5,5.2,0.5,1.6,1.9,3.6,1.2,1.6,2.3,6.6,109,2019
Darren Collison,PG,31,IND,76,28.2,4.1,,1.0,2.6,3.0,6.1,2.1,2.5,1.8,11.2,110,2019
Bonzie Colson,SF,23,MIL,8,12.3,1.6,4.9,0.6,2.6,,2.3,1.0,1.1,0.4,4.9,111,2019
Mike Conley,PG,31,MEM,70,33.5,7.0,,2.2,6.1,4.8,9.9,4.9,5.8,1.8,21.1,112,2019
Pat Connaughton,SG,26,MIL,61,20.7,2.7,,1.1,,1.6,2.5,0.5,0.7,1.3,6.9,113,2019
Quinn Cook,PG,25,GSW,74,14.3,2.8,,1.1,2.7,1.7,3.2,0.3,0.4,1.2,6.9,114,2019
DeMarcus Cousins,C,28,GSW,30,25.7,5.9,,0.9,3.2,,9.2,3.5,4.8,3.6,16.3,115,2019
Robert Covington,SF,28,TOT,35,34.4,4.5,,2.4,6.4,2.0,3.9,1.9,2.5,3.6,13.3,116,2019
Robert Covington,SF,28,PHI,13,33.8,3.8,,2.3,5.9,,3.1,1.3,1.8,3.5,11.3,116,2019
Robert Covington,SF,28,MIN,22,34.7,4.8,,2.5,6.7,,4.4,2.3,3.0,3.7,14.5,116,2019
Allen Crabbe,SG,26,BRK,43,26.3,3.2,,2.3,,0.9,2.7,1.0,1.3,2.4,9.6,117,2019
Torrey Craig,SF,28,DEN,75,20.0,2.1,,0.8,2.5,1.3,2.3,0.7,0.9,2.3,5.7,118,2019
Jamal Crawford,SG,38,PHO,64,18.9,2.7,,1.0,,1.7,3.7,1.5,1.7,1.2,7.9,119,2019
Mitch Creek,SF,26,TOT,5,9.6,1.6,,0.0,0.4,,2.8,1.0,1.4,0.6,4.2,120,2019
Mitch Creek,SF,26,BRK,4,9.0,1.3,,0.0,0.3,,2.3,1.3,1.8,0.8,3.8,120,2019
Mitch Creek,SF,26,MIN,1,12.0,3.0,,0.0,1.0,,5.0,0.0,0.0,0.0,6.0,120,2019
Jae Crowder,SF,28,UTA,80,27.1,4.0,,2.2,6.5,1.8,3.4,1.8,2.5,2.1,11.9,121,2019
Dante Cunningham,PF,31,SAS,64,14.5,1.2,,0.5,1.0,0.7,1.5,0.2,0.3,1.1,3.0,122,2019
Seth Curry,SG,28,POR,74,18.9,2.9,,1.5,,1.3,2.9,0.6,0.7,1.3,7.9,123,2019
Stephen Curry,PG,30,GSW,69,33.8,9.2,,5.1,11.7,4.0,7.7,3.8,4.2,2.4,27.3,124,2019
Troy Daniels,SG,27,PHO,51,14.9,2.2,,1.5,,0.8,1.6,0.4,0.5,1.5,6.2,125,2019
Anthony Davis,C,25,NOP,56,33.0,9.5,,0.9,2.6,8.6,15.7,6.1,7.7,2.4,25.9,126,2019
Deyonta Davis,C,22,ATL,9,13.1,1.7,2.4,0.0,0.1,,2.3,0.7,1.1,1.3,4.0,127,2019
Ed Davis,C,29,BRK,81,17.9,2.3,,0.0,0.0,2.3,3.7,1.2,2.0,2.8,5.8,128,2019
Tyler Davis,C,21,OKC,1,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,129,2019
Dewayne Dedmon,C,29,ATL,64,25.1,4.0,,1.3,3.4,2.8,4.8,1.4,1.8,3.3,10.8,130,2019
Sam Dekker,PF,24,TOT,47,16.8,2.6,5.4,0.4,1.3,2.1,4.1,0.6,1.0,1.0,6.1,131,2019
Sam Dekker,PF,24,CLE,9,18.8,2.4,5.3,0.6,1.4,,3.9,0.9,1.1,1.4,6.3,131,2019
Sam Dekker,PF,24,WAS,38,16.3,2.6,5.5,0.4,1.3,2.2,4.2,0.5,0.9,0.9,6.1,131,2019
Ángel Delgado,C,24,LAC,2,7.5,0.5,2.5,0.0,0.0,,2.5,0.5,1.0,1.0,1.5,132,2019
Matthew Dellavedova,PG,28,TOT,48,16.9,2.0,,0.9,2.7,1.1,2.3,0.9,1.1,1.6,5.9,133,2019
Matthew Dellavedova,PG,28,MIL,12,8.1,0.5,,0.3,0.9,,0.7,0.3,0.3,0.8,1.7,133,2019
Matthew Dellavedova,PG,28,CLE,36,19.9,2.6,,1.1,3.3,1.4,2.9,1.1,1.3,1.8,7.3,133,2019
Luol Deng,SF,33,MIN,22,17.8,2.7,,0.6,2.0,,3.4,1.1,1.6,1.1,7.1,134,2019
DeMar DeRozan,SG,29,SAS,77,34.9,8.2,,0.1,,8.1,16.5,4.8,5.7,2.3,21.2,135,2019
Marcus Derrickson,PF,22,GSW,11,6.1,1.5,3.0,0.9,1.8,,1.2,0.4,0.5,0.8,4.2,136,2019
Cheick Diallo,PF,22,NOP,64,14.0,2.6,4.2,0.0,0.1,2.6,4.2,0.8,1.0,1.8,6.0,137,2019
Hamidou Diallo,SG,20,OKC,51,10.3,1.5,3.2,0.1,,1.4,2.8,0.7,1.2,1.5,3.7,138,2019
Gorgui Dieng,C,29,MIN,76,13.6,2.5,,0.3,0.7,2.2,4.2,1.2,1.4,1.8,6.4,139,2019
Spencer Dinwiddie,PG,25,BRK,68,28.1,5.4,,1.8,5.4,3.6,6.7,4.2,5.2,2.8,16.8,140,2019
Donte DiVincenzo,SG,22,MIL,27,15.2,1.9,4.6,0.8,,,1.5,0.3,0.4,1.4,4.9,141,2019
Luka Dončić,SG,19,DAL,72,32.2,7.0,16.5,2.3,,4.7,9.3,4.8,6.7,1.9,21.2,142,2019
Tyler Dorsey,SG,22,TOT,48,14.5,2.2,5.5,0.9,,1.3,2.8,0.8,1.3,1.1,6.2,143,2019
Tyler Dorsey,SG,22,ATL,27,9.3,1.2,3.3,0.4,,,1.9,0.6,1.0,0.7,3.3,143,2019
Tyler Dorsey,SG,22,MEM,21,21.3,3.6,8.3,1.6,,,3.9,1.0,1.7,1.6,9.8,143,2019
Damyean Dotson,SG,24,NYK,73,27.5,4.0,9.6,1.7,,2.2,4.9,1.0,1.3,1.8,10.7,144,2019
PJ Dozier,SG,22,BOS,6,8.5,1.3,3.5,0.3,,,2.2,0.2,0.3,0.3,3.2,145,2019
Goran Dragić,PG,32,MIA,36,27.5,5.0,,1.6,4.6,3.4,7.5,2.2,2.8,2.3,13.7,146,2019
Andre Drummond,C,25,DET,79,33.5,7.1,,0.1,0.5,7.0,12.8,3.1,5.2,3.4,17.3,147,2019
Jared Dudley,PF,33,BRK,59,20.7,1.7,,0.9,2.6,0.8,1.5,0.5,0.8,2.2,4.9,148,2019
Kris Dunn,PG,24,CHI,46,30.2,4.7,11.0,0.7,2.1,3.9,8.9,1.2,1.5,3.6,11.3,149,2019
Kevin Durant,SF,30,GSW,78,34.6,9.2,,1.8,5.0,7.5,12.8,5.7,6.5,2.0,26.0,150,2019
Trevon Duval,PG,20,MIL,3,2.0,0.7,1.0,0.3,0.3,,0.7,0.0,0.0,0.0,1.7,151,2019
Vince Edwards,SF,22,HOU,2,8.0,0.5,2.0,0.5,2.0,,0.0,0.0,0.0,0.0,1.5,152,2019
Henry Ellenson,PF,22,TOT,19,13.6,2.1,5.0,0.9,2.0,,3.0,1.0,1.3,1.4,6.0,153,2019
Henry Ellenson,PF,22,DET,2,12.5,2.0,5.0,1.0,2.0,,3.0,1.0,1.0,1.0,6.0,153,2019
Henry Ellenson,PF,22,NYK,17,13.8,2.1,5.0,0.9,2.0,,3.0,1.0,1.4,1.5,6.0,153,2019
Wayne Ellington,SG,31,TOT,53,24.5,3.5,,2.6,,0.9,1.6,0.7,0.9,1.7,10.3,154,2019
Wayne Ellington,SG,31,MIA,25,21.3,2.8,,2.3,,,1.2,0.6,0.6,1.6,8.4,154,2019
Wayne Ellington,SG,31,DET,28,27.3,4.1,,2.9,,,2.0,0.9,1.2,1.9,12.0,154,2019
Joel Embiid,C,24,PHI,64,33.7,9.1,18.7,1.2,4.1,7.8,14.6,8.2,10.1,3.3,27.5,155,2019
James Ennis,SF,28,TOT,58,21.2,2.4,,0.9,2.7,1.4,2.4,1.0,1.4,2.6,6.7,156,2019
James Ennis,SF,28,HOU,40,23.7,2.6,,1.1,3.0,1.5,2.3,1.1,1.5,2.8,7.4,156,2019
James Ennis,SF,28,PHI,18,15.6,1.9,,0.6,2.0,,2.6,0.9,1.3,2.2,5.3,156,2019
Drew Eubanks,PF,21,SAS,23,4.9,0.7,1.1,0.0,0.0,,1.1,0.5,0.6,0.5,1.8,157,2019
